outer_fold,source_column,feature,smoothing,outer_train_prior,unique_keys,min_count,median_count,max_count,validation_unseen_rate,test_unseen_rate
2,City_Type,TTE__City_Type__m1p0,1.0,0.17464462772838416,3,99143,204412.0,231377,0.0,0.0
2,City_Type,TTE__City_Type__m5p0,5.0,0.17464462772838416,3,99143,204412.0,231377,0.0,0.0
2,City_Type,TTE__City_Type__m20p0,20.0,0.17464462772838416,3,99143,204412.0,231377,0.0,0.0
2,Current_Car_Type,TTE__Current_Car_Type__m1p0,1.0,0.17464462772838416,4,31357,130430.0,242715,0.0,0.0
2,Current_Car_Type,TTE__Current_Car_Type__m5p0,5.0,0.17464462772838416,4,31357,130430.0,242715,0.0,0.0
2,Current_Car_Type,TTE__Current_Car_Type__m20p0,20.0,0.17464462772838416,4,31357,130430.0,242715,0.0,0.0
2,Range_Anxiety_Level,TTE__Range_Anxiety_Level__m1p0,1.0,0.17464462772838416,3,1733,49864.0,483335,0.0,0.0
2,Range_Anxiety_Level,TTE__Range_Anxiety_Level__m5p0,5.0,0.17464462772838416,3,1733,49864.0,483335,0.0,0.0
2,Range_Anxiety_Level,TTE__Range_Anxiety_Level__m20p0,20.0,0.17464462772838416,3,1733,49864.0,483335,0.0,0.0
3,Gender,TTE__Gender__m1p0,1.0,0.17464462772838416,3,4222,236268.0,294442,0.0,0.0
3,Gender,TTE__Gender__m5p0,5.0,0.17464462772838416,3,4222,236268.0,294442,0.0,0.0
3,Gender,TTE__Gender__m20p0,20.0,0.17464462772838416,3,4222,236268.0,294442,0.0,0.0
3,City_Type,TTE__City_Type__m1p0,1.0,0.17464462772838416,3,99126,204398.0,231408,0.0,0.0
3,City_Type,TTE__City_Type__m5p0,5.0,0.17464462772838416,3,99126,204398.0,231408,0.0,0.0
3,City_Type,TTE__City_Type__m20p0,20.0,0.17464462772838416,3,99126,204398.0,231408,0.0,0.0
3,Current_Car_Type,TTE__Current_Car_Type__m1p0,1.0,0.17464462772838416,4,31410,130427.5,242667,0.0,0.0
3,Current_Car_Type,TTE__Current_Car_Type__m5p0,5.0,0.17464462772838416,4,31410,130427.5,242667,0.0,0.0
3,Current_Car_Type,TTE__Current_Car_Type__m20p0,20.0,0.17464462772838416,4,31410,130427.5,242667,0.0,0.0
3,Range_Anxiety_Level,TTE__Range_Anxiety_Level__m1p0,1.0,0.17464462772838416,3,1753,50210.0,482969,0.0,0.0
3,Range_Anxiety_Level,TTE__Range_Anxiety_Level__m5p0,5.0,0.17464462772838416,3,1753,50210.0,482969,0.0,0.0
3,Range_Anxiety_Level,TTE__Range_Anxiety_Level__m20p0,20.0,0.17464462772838416,3,1753,50210.0,482969,0.0,0.0
4,Gender,TTE__Gender__m1p0,1.0,0.17464462772838416,3,4187,236486.0,294259,0.0,0.0
4,Gender,TTE__Gender__m5p0,5.0,0.17464462772838416,3,4187,236486.0,294259,0.0,0.0
4,Gender,TTE__Gender__m20p0,20.0,0.17464462772838416,3,4187,236486.0,294259,0.0,0.0
4,City_Type,TTE__City_Type__m1p0,1.0,0.17464462772838416,3,99350,204188.0,231394,0.0,0.0
4,City_Type,TTE__City_Type__m5p0,5.0,0.17464462772838416,3,99350,204188.0,231394,0.0,0.0
4,City_Type,TTE__City_Type__m20p0,20.0,0.17464462772838416,3,99350,204188.0,231394,0.0,0.0
4,Current_Car_Type,TTE__Current_Car_Type__m1p0,1.0,0.17464462772838416,4,31384,130462.5,242623,0.0,0.0
4,Current_Car_Type,TTE__Current_Car_Type__m5p0,5.0,0.17464462772838416,4,31384,130462.5,242623,0.0,0.0
4,Current_Car_Type,TTE__Current_Car_Type__m20p0,20.0,0.17464462772838416,4,31384,130462.5,242623,0.0,0.0
4,Range_Anxiety_Level,TTE__Range_Anxiety_Level__m1p0,1.0,0.17464462772838416,3,1776,49981.0,483175,0.0,0.0
4,Range_Anxiety_Level,TTE__Range_Anxiety_Level__m5p0,5.0,0.17464462772838416,3,1776,49981.0,483175,0.0,0.0
4,Range_Anxiety_Level,TTE__Range_Anxiety_Level__m20p0,20.0,0.17464462772838416,3,1776,49981.0,483175,0.0,0.0
