member,held_fold,selected_alpha,selection_auc_on_other_4_folds,held_baseline_auc,held_blend_auc,held_delta
g,2,0.0,0.9458690687700114,0.9470867427283187,0.9470867427283187,0.0
g,3,0.0,0.9460450983654524,0.9463826034747904,0.9463826034747904,0.0
g,4,0.0,0.9461085240195626,0.9461277951488509,0.9461277951488509,0.0
h,0,0.05,0.9463572812871806,0.9451562179902689,0.9451562955734538,7.758318487649518e-08
h,1,0.05,0.9461933462955062,0.9458091925175288,0.9458129788370472,3.786319518361836e-06
h,2,0.05,0.9458739020194442,0.9470867427283187,0.9470901388175907,3.3960892720230618e-06
h,3,0.05,0.946048629341365,0.9463826034747904,0.9463914168210272,8.813346236813402e-06
h,4,0.05,0.9461124898382168,0.9461277951488509,0.9461352997109411,7.504562090199229e-06
i,0,0.05,0.9463549191286565,0.9451562179902689,0.9451582871338076,2.0691435386188672e-06
i,1,0.05,0.946190964042907,0.9458091925175288,0.9458148372795032,5.644761974399337e-06
i,2,0.05,0.9458736294426746,0.9470867427283187,0.9470839796964645,-2.76303185420268e-06
i,3,0.05,0.9460471878337982,0.9463826034747904,0.9463892849070765,6.681432286104183e-06
i,4,0.05,0.9461114453646684,0.9461277951488509,0.9461318248773949,4.029728543963884e-06
a_lgbm,0,0.0,0.9463515535503667,0.9451562179902689,0.9451562179902689,0.0
a_lgbm,1,0.0,0.9461884043475101,0.9458091925175288,0.9458091925175288,0.0
a_lgbm,2,0.0,0.9458690687700114,0.9470867427283187,0.9470867427283187,0.0
a_lgbm,3,0.0,0.9460450983654524,0.9463826034747904,0.9463826034747904,0.0
a_lgbm,4,0.0,0.9461085240195626,0.9461277951488509,0.9461277951488509,0.0
b_lgbm_deep,0,0.0,0.9463515535503667,0.9451562179902689,0.9451562179902689,0.0
b_lgbm_deep,1,0.0,0.9461884043475101,0.9458091925175288,0.9458091925175288,0.0
b_lgbm_deep,2,0.0,0.9458690687700114,0.9470867427283187,0.9470867427283187,0.0
b_lgbm_deep,3,0.0,0.9460450983654524,0.9463826034747904,0.9463826034747904,0.0
b_lgbm_deep,4,0.0,0.9461085240195626,0.9461277951488509,0.9461277951488509,0.0
c_xgb,0,0.0,0.9463515535503667,0.9451562179902689,0.9451562179902689,0.0
c_xgb,1,0.0,0.9461884043475101,0.9458091925175288,0.9458091925175288,0.0
c_xgb,2,0.0,0.9458690687700114,0.9470867427283187,0.9470867427283187,0.0
c_xgb,3,0.0,0.9460450983654524,0.9463826034747904,0.9463826034747904,0.0
c_xgb,4,0.0,0.9461085240195626,0.9461277951488509,0.9461277951488509,0.0
d_catboost,0,0.0,0.9463515535503667,0.9451562179902689,0.9451562179902689,0.0
d_catboost,1,0.0,0.9461884043475101,0.9458091925175288,0.9458091925175288,0.0
d_catboost,2,0.0,0.9458690687700114,0.9470867427283187,0.9470867427283187,0.0
d_catboost,3,0.0,0.9460450983654524,0.9463826034747904,0.9463826034747904,0.0
d_catboost,4,0.0,0.9461085240195626,0.9461277951488509,0.9461277951488509,0.0
e_histgb,0,0.0,0.9463515535503667,0.9451562179902689,0.9451562179902689,0.0
e_histgb,1,0.0,0.9461884043475101,0.9458091925175288,0.9458091925175288,0.0
e_histgb,2,0.0,0.9458690687700114,0.9470867427283187,0.9470867427283187,0.0
e_histgb,3,0.0,0.9460450983654524,0.9463826034747904,0.9463826034747904,0.0
e_histgb,4,0.0,0.9461085240195626,0.9461277951488509,0.9461277951488509,0.0
f_lgbm_te,0,0.0,0.9463515535503667,0.9451562179902689,0.9451562179902689,0.0
f_lgbm_te,1,0.0,0.9461884043475101,0.9458091925175288,0.9458091925175288,0.0
f_lgbm_te,2,0.0,0.9458690687700114,0.9470867427283187,0.9470867427283187,0.0
f_lgbm_te,3,0.0,0.9460450983654524,0.9463826034747904,0.9463826034747904,0.0
f_lgbm_te,4,0.0,0.9461085240195626,0.9461277951488509,0.9461277951488509,0.0
g_mlp,0,0.0,0.9463515535503667,0.9451562179902689,0.9451562179902689,0.0
g_mlp,1,0.0,0.9461884043475101,0.9458091925175288,0.9458091925175288,0.0
g_mlp,2,0.0,0.9458690687700114,0.9470867427283187,0.9470867427283187,0.0
g_mlp,3,0.0,0.9460450983654524,0.9463826034747904,0.9463826034747904,0.0
g_mlp,4,0.0,0.9461085240195626,0.9461277951488509,0.9461277951488509,0.0
h_spline_gam,0,0.0,0.9463515535503667,0.9451562179902689,0.9451562179902689,0.0
h_spline_gam,1,0.0,0.9461884043475101,0.9458091925175288,0.9458091925175288,0.0
h_spline_gam,2,0.0,0.9458690687700114,0.9470867427283187,0.9470867427283187,0.0
h_spline_gam,3,0.0,0.9460450983654524,0.9463826034747904,0.9463826034747904,0.0
h_spline_gam,4,0.0,0.9461085240195626,0.9461277951488509,0.9461277951488509,0.0
i_extratrees,0,0.0,0.9463515535503667,0.9451562179902689,0.9451562179902689,0.0
i_extratrees,1,0.0,0.9461884043475101,0.9458091925175288,0.9458091925175288,0.0
i_extratrees,2,0.0,0.9458690687700114,0.9470867427283187,0.9470867427283187,0.0
i_extratrees,3,0.0,0.9460450983654524,0.9463826034747904,0.9463826034747904,0.0
i_extratrees,4,0.0,0.9461085240195626,0.9461277951488509,0.9461277951488509,0.0
j_logreg,0,0.0,0.9463515535503667,0.9451562179902689,0.9451562179902689,0.0
j_logreg,1,0.0,0.9461884043475101,0.9458091925175288,0.9458091925175288,0.0
j_logreg,2,0.0,0.9458690687700114,0.9470867427283187,0.9470867427283187,0.0
j_logreg,3,0.0,0.9460450983654524,0.9463826034747904,0.9463826034747904,0.0
j_logreg,4,0.0,0.9461085240195626,0.9461277951488509,0.9461277951488509,0.0
